"","chain","iter","deviance","lambda.std[1]","lambda.std[10]","lambda.std[2]","lambda.std[3]","lambda.std[4]","lambda.std[5]","lambda.std[6]","lambda.std[7]","lambda.std[8]","lambda.std[9]","lambda[1]","lambda[10]","lambda[2]","lambda[3]","lambda[4]","lambda[5]","lambda[6]","lambda[7]","lambda[8]","lambda[9]","reli.omega","tau[1,1]","tau[10,1]","tau[2,1]","tau[3,1]","tau[4,1]","tau[5,1]","tau[6,1]","tau[7,1]","tau[8,1]","tau[9,1]","theta[1]","theta[10]","theta[2]","theta[3]","theta[4]","theta[5]","theta[6]","theta[7]","theta[8]","theta[9]"
"1",1,5001,950.229380714618,0.965215082976796,0.718607609567089,0.604352361567309,0.955553685246247,0.248738226518804,0.801755506073805,0.0382677093811162,0.710235488021806,0.894744273825026,0.74482736380003,3.69167592732856,1.03334959158151,0.758553218953806,3.24117396333429,0.256809558752512,1.3415085815824,0.0382957601466107,1.00890857669991,2.00355265313269,1.11625223536438,0.954537688827308,-3.00012662378728,-4.29717093977731,0.410675461681187,-4.32869615026809,-2.57333639393841,-0.0542797079877091,-4.92750762135686,-6.21631362135376,-4.45206634618178,-1.76302692722229,14.6284711524172,2.06781137842167,1.57540298598518,11.5052086605961,1.06595114946666,2.79964527445921,1.00146656524521,2.01789651613864,5.01422323387506,2.24601905295598
"2",1,5006,960.181246713856,0.965865244342232,0.785910033753998,0.502186101312502,0.957745173823847,0.0046306739883346,0.817066445363697,0.0677646674162391,0.659604932364017,0.867209143008222,0.751611300625767,3.72856112499232,1.27099806094505,0.580723378851434,3.3299194753013,0.00463072363723206,1.41718088075471,0.0679207947063254,0.877586445492188,1.74157939767019,1.13948474471886,0.952486281238147,-2.12334214119634,-2.2568512390834,0.0791771363751968,-4.58537762225198,-1.99007033115135,-0.169154719224498,-3.47038356694839,-6.55504284166425,-9.7461079599628,-1.59249881533472,14.902168062804,2.61543607092607,1.33723964274463,12.0883637119909,1.0000214436014,3.0084016487767,1.00461323435354,1.77015796931161,4.03309879838926,2.298425483447
"3",1,5011,999.750703841819,0.952790820770964,0.81785630303503,0.352374402410882,0.951998963767105,0.194284139798404,0.809577193927719,0.365276766984224,0.754376702577734,0.759660391474513,0.73394109562423,3.13802556236071,1.42131440054298,0.376525053062626,3.11007869218005,0.198058077920856,1.37914594874504,0.392391420143583,1.14919059541806,1.16813323125263,1.08057555047143,0.94734634344493,-2.16863583518365,-2.63392886369508,0.347432289312769,-3.41038560905303,-2.53462981715397,0.235563109638341,-5.47210048030309,-7.37156312395432,-4.87468335903162,-1.88315833150681,10.8472044300292,3.02013462519085,1.14177111558381,10.6725894715523,1.0392270022297,2.90204354793984,1.1539710266023,2.32063902459731,2.3645352459567,2.16764352027664
"4",1,5016,978.904640271064,0.949347715812783,0.792988776976516,0.252736456785509,0.945183505904661,0.36394428885644,0.736806717572281,0.486795470810091,0.691181177825457,0.753252713498085,0.818280804292311,3.02121154509808,1.30161129823873,0.26121681935861,2.89454441004154,0.390741027849768,1.08978401010303,0.557282844535604,0.956411861450306,1.14522877688195,1.42354592817477,0.944469979103484,-2.31999267127497,-3.43846390142111,-0.0113462862778712,-3.75990272938175,-3.75106448350525,-0.0988880558390136,-8.65078575845957,-5.0652082436763,-3.00921334241617,-2.39047110591073,10.1277192002339,2.69419197170272,1.06823422671583,9.37838734170275,1.15267855084509,2.18762918867624,1.31056416881369,1.91472364872284,2.31154895139854,3.02648300962297
"5",1,5021,945.963829601013,0.93974919035061,0.789889422086993,0.312702482246027,0.943829178428076,0.459008736560427,0.628111342711105,0.348399679909274,0.659222642977315,0.793776952966163,0.836419261509367,2.74889231358776,1.28803966888624,0.329212099005685,2.8563338252674,0.516650530560079,0.807212946926618,0.371687351614305,0.876686700012142,1.30510563725955,1.52606145637021,0.94097262114942,-1.86498202284135,-3.41213738392559,0.268514633517474,-3.96966458730325,-2.21547151730214,0.116912965853657,-8.35560426341596,-4.72141563364292,-4.98759264459623,-2.21544517615355,8.55640895170189,2.65904618862458,1.10838060613173,9.15864292136672,1.26692777072801,1.65159274168595,1.13815148735006,1.76857956997818,2.70330072440665,3.32886356861876
"6",1,5026,940.630917302514,0.937081775485005,0.798702902844797,0.337377244638043,0.941970526454037,0.254998384047716,0.732734212586491,0.353122738712518,0.548386498118539,0.806607971369603,0.866389850913673,2.68420255077911,1.32735407982761,0.358389806930895,2.80602594213637,0.26371646013932,1.07673495072024,0.377438454561148,0.655788213555793,1.36461852942594,1.73497191831902,0.941177610880327,-2.11057222685654,-2.44858433174607,0.420726109962086,-2.9250147682958,-2.14161479587788,-0.0899222760724773,-5.50918617423035,-4.25986229492741,-3.78615272954199,-2.36845991214715,8.20494333360908,2.76186885323499,1.12844325371196,8.87378158794229,1.06954637134841,2.15935815410252,1.14245978698151,1.4300581810387,2.86218373085261,4.0101275573556
"7",1,5031,941.218836799225,0.947268304641622,0.699377703660019,0.187581797358299,0.94016906998485,0.533345844479845,0.721301280624373,0.552366959022271,0.682470783552042,0.786647668947968,0.818566039414004,2.9561348506169,0.978489637906737,0.190971739496178,2.75945486108402,0.630508994880446,1.04140766715478,0.662627459857692,0.93372385093905,1.27412520004168,1.42504931549551,0.942918005688433,-2.56170996961311,-2.19714571638447,-0.164193456228557,-4.18469763600545,-2.87968317345137,-0.313855601317297,-3.37333012822172,-6.92436849190857,-5.21253519825935,-2.2928663544262,9.73873325503182,1.95744197149086,1.0364702052862,8.61459113036024,1.39754159262515,2.08452992920876,1.43907515055746,1.87184022981245,2.62339502538125,3.03076555159423
"8",1,5036,928.815218779063,0.933771875174572,0.732261779953304,0.212479777030168,0.926506388426264,0.717912317843528,0.673219242994087,0.44900522753979,0.737021081360217,0.832735971314229,0.842699895610393,2.60925749665797,1.07523754187024,0.217445033438768,2.46228543757469,1.03128534655399,0.910441107940777,0.502507654882006,1.09047797446619,1.50402860689274,1.56524068924087,0.943875211224434,-2.76021409878677,-2.04031339151026,0.232741529115549,-3.72750930807736,-2.65943556967891,0.46844362497268,-5.23256581926084,-5.32437385347553,-6.05065407704368,-2.4298880296767,7.80822468386581,2.15613577144715,1.04728234256719,7.06284957609239,2.06354946601699,1.82890301102843,1.25251394321501,2.18914221279587,3.26210205035172,3.44997841525523
"9",1,5041,935.245399144657,0.938857490349232,0.785018665167847,0.249073667576211,0.924903241731482,0.769390357445216,0.614347581405818,0.128496424983016,0.726245284475313,0.821643271785512,0.821636627003066,2.72681139822904,1.26723810841369,0.257178774436858,2.43265910667264,1.20447053332815,0.778605737152432,0.129570568611563,1.05645564614654,1.4414742467561,1.44143836773602,0.941929073947305,-2.74639270645462,-2.97078037005949,-0.193428865984474,-3.64888367852454,-3.40703275732333,-0.111834104379209,-3.65053239337796,-5.139798321675,-4.38330154439704,-2.35908531689317,8.43550040151184,2.6058924234159,1.06614092202084,6.91783032927735,2.45074926565579,1.60622689392668,1.01678853225032,2.11609853227491,3.07784800406107,3.07774456798148
"10",1,5046,963.936340038742,0.919819966194731,0.691719717523041,0.388710439989227,0.926435955041083,0.784916003236522,0.653649154522265,0.210930174279807,0.606438120533748,0.719198521139145,0.827405306617218,2.34444183719852,0.957840234313001,0.421887701609157,2.46096429897373,1.26680638323684,0.863703920861383,0.215785094807945,0.762689872370951,1.03510897907491,1.47328627059025,0.93302047228034,-3.05191456470788,-2.83803320602836,-0.335476525533181,-3.85345529974439,-3.75010542915462,0.141738880915128,-2.29608420737434,-4.10505518041008,-3.88965461014552,-2.89573089375536,6.49640752800675,1.91745791446878,1.17798923276906,7.05634528082325,2.6047984126096,1.74598446291133,1.04656320714127,1.58169584141722,2.0714505985615,3.17057243510972
